,phi,psi,w
-406.3714857,-81.20777123601808,-76.68094986988504,153.74022681224545
-406.3478491,-64.13427768488906,-60.68929958647906,140.9646190108081
-406.3266401,-64.21743872279914,-60.01393986321834,141.0508239722106
-406.3053833,-86.26774802524119,-63.20782611410705,167.5874302052894
-406.2695338,-88.04072477595956,-67.1060070778283,165.1739319049555
-406.2481170,-74.22585830185892,-70.10754717360355,146.23003627687496
-406.2215630,-105.08187534173041,-72.32347886816689,158.5332906833946
-406.1965892,-88.53322938529226,-63.89211624252338,161.14091134649425
-406.1734862,-81.90845435017287,-58.49249812775698,154.1163986084888
-406.1526922,-77.84206049525572,-58.28976577533534,152.61834817421405
-406.1292458,-76.99582691377215,-71.98388587431647,156.7560844579753
-406.1082691,-86.70713016694063,-68.62616720079922,159.48472281474116
-406.0853279,-87.23733367171027,-65.78736053324965,167.4815741394778
-406.0511971,-81.49585349732831,-61.175903696390215,159.92019055779375
-406.0306408,-81.52854941309036,-61.18106336934159,159.90824164042493
-406.0105988,-81.53114032754038,-61.18933316042839,159.92322962187657
-405.9900522,-70.038647679052,-65.97267296133222,168.81846557624573
-405.9556008,-96.61710641930298,-54.84184683800805,155.62372222257477
-405.9325171,-88.59876069373705,-69.6331934846047,162.30945010034705
-405.9089046,-73.08212988452888,-61.46522655963295,168.92698774104116
-405.8888046,-64.99589880175301,-64.57355424324426,142.6684647915894
-405.8680953,-77.31533087585149,-72.18454442039105,171.73935232780957
-405.8472474,-85.60893354357431,-71.88511498638097,155.84930860866388
-405.8200903,-65.03961417354941,-56.06277594050029,166.9862915745116
-405.7919297,-68.64520947657257,-66.1173696007794,167.63257480930304
-405.7718507,-92.61730428878808,-57.58770603467463,155.14832584720628
-405.7393405,-92.60970293126906,-57.59891819198803,155.16072029916592
-405.7191213,-75.20252347757226,-71.5067327133452,153.50328586837347
-405.6965898,-93.00798007542747,-69.77664901858516,169.2053825824241
-405.6758541,-66.81996181306333,-65.54173898258395,141.98889573900706
-405.6520914,-82.55932541226652,-56.51778967240419,165.94860271403545
-405.6314028,-93.41933818241587,-69.11244856836069,167.7501360732779
-405.6082551,-80.30018150710173,-65.20186216901661,146.6369451037472
-405.5872385,-90.18828300977162,-62.82291162082642,163.3348945087125
-405.5566487,-86.97165606761236,-51.81318934050504,158.99029834337483
-405.5337430,-68.30661795279701,-65.10418197725159,165.65312943436604
-405.5096416,-86.75547969997872,-64.42346681069974,163.10408401777795
-405.4841188,-89.44361051383909,-67.72086849020282,161.86388824297373
-405.4614644,-77.69708555384689,-62.78159572360371,160.77716007347203
-405.4411581,-63.244698469928046,-68.42736250055212,144.3233027003455
-405.4197308,-80.57852132867563,-60.0524054937442,149.01636696902446
-405.3989017,-78.04003077214257,-56.432714439889125,150.6952840500239
-405.3785867,-97.36934777752894,-54.770870530187885,153.56108546134556
-405.3545186,-86.37206757905784,-68.44692474958097,158.68214940726102
-405.3315367,-86.40934127697628,-68.67070577929779,158.9022163152727
-405.3057883,-86.41872722117489,-68.66260293800245,158.90225628987716
-405.2714990,-73.62800295370491,-58.89282355808088,173.2711030601894
-405.2404864,-72.7567048296037,-64.55172653544062,172.11762479157454
-405.2187767,-66.82327982830031,-64.80592098921896,166.5232511468409
-405.1955315,-85.23219691052759,-61.003403474293286,163.4175181159056
-405.1698323,-88.98506691330283,-69.61472205970844,163.07333342004887
-405.1497498,-73.23909920129354,-67.78940551555245,172.33834022987776
-405.1295693,-80.68141504998101,-65.30543408778037,169.85000810630942
-405.1093923,-75.08668404167227,-57.13605541179319,159.43636290542338
-405.0870555,-65.69922919333511,-60.67413086124846,141.58661032503431
-405.0666381,-89.37010203213431,-79.19976318129072,158.70435175656482
-405.0387843,-80.37181041311429,-66.63332865493062,169.18724191868822
-405.0159630,-80.33516136228224,-66.60283810469868,169.17162135884132
-404.9926729,-71.00621076232049,-63.21681815224242,158.5089289951794
-404.9636268,-90.01896881712572,-59.02325605309336,169.05468941736243
-404.9398425,-82.93925011589985,-75.92685423031428,155.16516438201452
-404.9174838,-88.7144331443541,-76.8431633735089,159.83572813220508
-404.8960526,-82.39158620638709,-61.32473146816468,160.5201342682494
-404.8731258,-81.71432251758905,-65.67575567333522,175.15089468701788
-404.8492476,-93.57394381600533,-63.73843731311993,155.00140583022716
-404.8292072,-72.391418118216,-73.21645548613418,150.25264610843692
-404.8070021,-74.86537499548416,-61.3759030443118,164.46537469232382
-404.7844627,-96.9118097598987,-64.99656068875956,157.69425598165873
-404.7643162,-93.1543850932937,-66.97374635094354,159.80508332789705
-404.7400991,-123.64212347210423,-64.24333721485873,166.1312905392701
-404.7171529,-92.22400540944852,-59.49392818345494,167.89796469254856
-404.6923310,-74.87994178987591,-62.8883790781869,174.46123989276668
-404.6695751,-68.57110716564253,-62.35557212785395,130.2953935562912
-404.6485278,-70.74808017418366,-69.0261104926626,156.88870406318756
-404.6236062,-78.03622547327224,-64.6918363684082,167.38802082497747
-404.6019373,-78.03514524712934,-65.4842196709789,177.91974233441744
-404.5804171,-95.92107064400567,-60.75570795134058,150.6595247780779
-404.5575863,-76.2452264987705,-67.88470332271712,151.75979923679012
-404.5362623,-83.75083695957862,-60.69125924376781,163.83968043590554
-404.5159272,-82.15238426776497,-63.1349554124552,176.09205801390107
-404.4942881,-87.2512546029263,-70.95069723826441,157.9522294790465
-404.4698902,-80.29944812428172,-71.69404748471094,154.25056204219655
-404.4425482,-84.03774455009908,-68.3259782759801,161.7329419485355
-404.4217666,-97.25160112393071,-62.041087476139055,158.29398078428858
-404.3992027,-76.59540307478414,-63.8513811573147,161.5615191150305
-404.3769692,-86.33463368775317,-69.12523969029775,163.65410539651336
-404.3542355,-84.0128217231474,-59.676112974861624,160.81205416505355
-404.3342135,-76.18814400429272,-65.2690318404733,165.92817831822006
-404.3140016,-92.35940009320927,-59.613135129558074,158.4408197875175
-404.2901982,-75.22518167531112,-61.52472557597068,161.63933201669084
-404.2698387,-83.00918267530483,-66.22858879110078,152.5026996097944
-404.2484818,-88.4001748150977,-57.89815613847729,163.46604731563292
-404.2271222,-96.75042007092117,-62.745120001127106,155.95874354746343
-404.1989864,-80.0187590695758,-52.324874462496375,150.6659407946981
-404.1767276,-89.93566617974757,-69.9679370787092,156.50445338842673
-404.1563203,-89.179684113075,-69.08593035798194,165.75087761603044
-404.1328648,-70.0042984983507,-64.2994700162179,134.57891245754004
-404.1093617,-80.65261878685077,-65.1387196941753,169.0352658663624
-404.0884224,-70.89555056241394,-69.30368257477414,168.4132093225738
-404.0678163,-80.97162530969743,-68.03340114944044,152.82030145419364
-404.0472260,-78.72005662329305,-73.05468834341025,155.76758093786236
-404.0035404,-72.94452838242191,-67.19499843818014,164.60359433338323
-403.9830565,-63.66610098994844,-52.35285396855288,169.79025284222445
-403.9628415,-77.21599602909814,-64.3698546324955,155.0994999837022
-403.9398848,-95.3844552686701,-75.92924558834814,155.00719087663703
-403.9197037,-87.73069951609654,-70.4300039782818,156.6937692016988
-403.8985022,-99.89114146112634,-69.97674281587913,162.18994585239062
-403.8750420,-66.70248050789736,-64.70197786670968,152.4506967950722
-403.8451628,-72.53074965176924,-64.49724618601044,163.89655936646582
-403.8207145,-87.46314287657074,-66.81831039689246,165.50136580956118
-403.7956950,-80.11554109787863,-72.58842154438848,162.72702350376053
-403.7743793,-82.62894637280742,-65.66792704575835,147.86884789056055
-403.7503747,-84.61821102014216,-67.14775696228982,159.77090170623777
-403.7288705,-84.26670700480781,-59.32363359684663,172.80383775147195
-403.7085358,-71.67878786380824,-69.40059774191131,167.80615607217732
-403.6797237,-80.68057369551236,-78.27775121767509,159.04903469393037
-403.6583589,-79.18670803792789,-70.88035105532893,150.12472241295958
-403.6343134,-76.57010884194577,-56.69126484157041,161.6339458015438
-403.6096826,-82.82484547983942,-61.01450457113761,162.17535410808662
-403.5810984,-78.32724446671895,-67.15959989737229,147.86472765644393
-403.5596413,-66.20099457603158,-59.58834184067298,139.67704723654256
-403.5377642,-77.36241180042553,-64.00228175705175,175.87343693149367
-403.5132086,-81.36081980902745,-64.87760075672182,145.24661658040515
-403.4914619,-69.5183606368531,-64.3463854076779,133.86243219385136
-403.4702323,-69.64794881264076,-68.10412552338978,165.92037555626334
-403.4448086,-87.42898872032583,-62.60065644416286,167.09750038600356
-403.4186287,-81.98395561400906,-69.77616457883234,149.12451286786248
-403.3954226,-63.36661565113658,-67.79071368117998,143.26846015443942
-403.3753834,-68.52731764915102,-55.89573784211334,139.15236037977155
-403.3542707,-83.2213526043391,-64.53182165313619,169.72333562798374
-403.3330031,-69.42461132585738,-62.387463369407335,160.5436019535671
-403.3117918,-94.89235169256104,-54.224596766740234,168.93670297144527
-403.2902330,-71.77457828791442,-61.6758822207399,152.93053176595095
-403.2677377,-67.48339438748162,-70.49174346360337,168.16404126320788
-403.2440066,-67.47811281377348,-70.50397339128473,168.16558193996156
-403.2232343,-87.94538601816554,-60.33841845824155,170.33780375032362
-403.1998100,-85.64853769501298,-57.90441976616633,162.7585651383289
-403.1777256,-93.24970881790667,-65.95388560846301,169.0765060815096
-403.1528216,-87.97194474301111,-67.3990393672751,169.5294836073131
-403.1257982,-82.85860785082834,-55.807184665840644,161.99664990592458
-403.1047153,-93.8469653687563,-61.16432062079694,160.73557497228435
-403.0773099,-71.20946710209738,-77.52519118233012,158.61813474268786
-403.0565664,-69.30958909124834,-68.77851718333544,170.13712330042233
-403.0323898,-87.42406319190093,-64.14591196516,149.19944696992414
-403.0080708,-79.19153133527534,-73.35807148642658,157.36759480930098
-402.9850872,-86.02996410891902,-73.67056591169934,158.3544194754324
-402.9599354,-67.55746172959732,-68.23597514244328,144.9352810388302
-402.9393948,-87.94200531023854,-65.58447145101135,167.82372499243664
-402.9165331,-63.05593690278172,-61.68620720597598,150.28799854445694
-402.8901805,-69.19968431131461,-65.31345817142025,170.46171965833716
